"Incident Case Id","Date","Clearance Code Inc Type","PGPD Reporting Area","PGPD Sector","PGPD BEAT","Street Number","Street Name","Latitude","Longitude","Location"
"PP23070100000003","07/01/2023","ACCIDENT WITH IMPOUND","236","B","B4",,"VETERANS PKWY NB / ANNAPOLIS RD WB","38.95161956549","-76.88532377779","(38.95161956548691,-76.88532377779484)"
"PP23070100000142","07/01/2023","ACCIDENT","627","W","W4","10800 BLOCK","INDIAN HEAD HWY NB","38.74394281209","-76.99195086956","(38.74394281208515,-76.99195086956024)"
"PP23070100000314","07/01/2023","THEFT FROM AUTO","406","G","G7","200 BLOCK","WESTHAMPTON AVE","38.88698714972","-76.86498260498","(38.886987149715424,-76.86498260498047)"
"PP23070100000567","07/01/2023","AUTO, STOLEN & RECOVERED","605","K","K6","5900 BLOCK","FISHER RD","38.80791905522","-76.95618978143","(38.807919055223465,-76.95618978142738)"
"PP23070100000575","07/01/2023","B & E, COMMERCIAL","434","H","H3","2700 BLOCK","LORRING DR","38.85056988895","-76.88269911706","(38.850569888949394,-76.88269911706448)"
"PP23070100000601","07/01/2023","THEFT FROM AUTO","633","F","F4","9200 BLOCK","PINE VIEW LN","38.7632997334","-76.88794843853","(38.763299733400345,-76.8879484385252)"
"PP23070100000631","07/01/2023","THEFT FROM AUTO","443","K","K4","4400 BLOCK","TELFAIR BLVD","38.82891640067","-76.91124236584","(38.828916400671005,-76.9112423658371)"
"PP23070100000635","07/01/2023","AUTO, STOLEN & RECOVERED","125","A","A3","500 BLOCK","GREENLAWN DR","38.96572715044","-77.00015294552","(38.965727150440216,-77.0001529455185)"
"PP23070100000699","07/01/2023","B & E, RESIDENTIAL","430","K","K3","3800 BLOCK","SAINT BARNABAS RD SB","38.83679039776","-76.94109794497","(38.83679039776325,-76.9410979449749)"
"PP23070100000746","07/01/2023","AUTO, STOLEN","911","C","C6","14400 BLOCK","BONNETT LN","39.08875839412","-76.88926078379","(39.088758394122124,-76.88926078379154)"
"PP23070100000923","07/01/2023","THEFT FROM AUTO","135","A","A2","5800 BLOCK","RIGGS RD NB","38.96146206558","-76.99654403329","(38.96146206557751,-76.99654403328896)"
"PP23070100000962","07/01/2023","THEFT FROM AUTO","603","J","J5","6400 BLOCK","OXON HILL RD NB","38.80201356113","-76.99588786066","(38.80201356112957,-76.99588786065578)"
"PP23070100000977","07/01/2023","ASSAULT","628","W","W4","11500 BLOCK","OLD FORT RD","38.7331160605","-76.97554670274","(38.73311606049538,-76.97554670274258)"
"PP23070100000996","07/01/2023","THEFT","856","E","E2","2300 BLOCK","BROOKE GROVE RD","38.92143589258","-76.83709552884","(38.92143589258194,-76.83709552884102)"
"PP23070100000999","07/01/2023","THEFT FROM AUTO","408","H","H1","1200 BLOCK","GLACIER AVE","38.87320764363","-76.92633420229","(38.87320764362812,-76.92633420228958)"
"PP23070100001036","07/01/2023","AUTO, STOLEN","307","G","G6","6800 BLOCK","WEST FOREST RD","38.92406055331","-76.89090119302","(38.9240605533123,-76.89090119302273)"
"PP23070100001072","07/01/2023","B & E, COMMERCIAL","633","F","F4","9000 BLOCK","STUART LN","38.76592439413","-76.88630802929","(38.76592439413071,-76.88630802929401)"
"PP23070100001079","07/01/2023","ACCIDENT WITH IMPOUND","101","A","A7",,"RIGGS RD / HUGHES RD","39.0070656389","-76.96636036038","(39.0070656388998,-76.96636036038399)"
"PP23070100001094","07/01/2023","THEFT","504","K","K1","4200 BLOCK","21S AVE","38.8315410614","-76.96406377852","(38.83154106140137,-76.96406377851963)"
"PP23070100001171","07/01/2023","SEX OFFENSE","159","C","B7","9800 BLOCK","47TH AVE","39.01526772976","-76.93256777525","(39.015267729759216,-76.93256777524948)"
"PP23070100001388","07/01/2023","AUTO, STOLEN","524","J","J1","5100 BLOCK","INDIAN HEAD HWY SB","38.81808964908","-77.00376185775","(38.81808964908123,-77.00376185774803)"
"PP23070100001399","07/01/2023","ACCIDENT","642","W","W6","16400 BLOCK","MCKENDREE RD","38.66454663873","-76.87580935657","(38.66454663872719,-76.87580935657024)"
"PP23070100001637","07/01/2023","ACCIDENT WITH IMPOUND","763","F","F7",,"AQUASCO RD / ORME RD","38.64289315045","-76.76524527371","(38.6428931504488,-76.7652452737093)"
"PP23070100001685","07/01/2023","AUTO, STOLEN","226","B","B5","6200 BLOCK","67TH CT","38.96375864744","-76.90271219611","(38.963758647441864,-76.90271219611168)"
"PP23070100001703","07/01/2023","ACCIDENT","754","F","F7","16000 BLOCK","CRAIN HWY SE","38.67012405396","-76.87220044434","(38.67012405395508,-76.8722004443407)"
"PP23070100001716","07/01/2023","ACCIDENT WITH IMPOUND","936","C","C2","2800 BLOCK","POWDER MILL RD","39.02773489058","-76.96275144815","(39.02773489058018,-76.96275144815445)"
"PP23070100001724","07/01/2023","ACCIDENT","638","W","W4",,"FLORAL PARK RD / PISCATAWAY RD","38.70293238759","-76.96668843925","(38.70293238759041,-76.96668843924999)"
"PP23070100001767","07/01/2023","THEFT FROM AUTO","125","A","A3","5900 BLOCK","RIGGS RD SB","38.96244631708","-76.99359127879","(38.96244631707668,-76.99359127879143)"
"PP23070100001796","07/01/2023","AUTO, STOLEN","308","G","G6","2400 BLOCK","KENT VILLAGE DR","38.92307631671","-76.88499569893","(38.92307631671429,-76.88499569892883)"
"PP23070100001890","07/01/2023","THEFT","904","C","C5","13300 BLOCK","FINSBURY CT","39.07399463654","-76.85218736529","(39.073994636535645,-76.8521873652935)"
"PP23070100001980","07/01/2023","HOMICIDE","827","D","D2","9800 BLOCK","GOOD LUCK RD EB","38.98442789912","-76.8403763622","(38.98442789912224,-76.84037636220455)"
"PP23070100002202","07/01/2023","ROBBERY, OTHER","235","B","B4","6800 BLOCK","FARRAGUT ST","38.95161956549","-76.89746285975","(38.95161956548691,-76.8974628597498)"
"PP23070100002256","07/01/2023","ACCIDENT WITH IMPOUND","408","H","H1","4600 BLOCK","HEATH ST","38.87550422549","-76.92797461152","(38.87550422549248,-76.92797461152077)"
"PP23070100002257","07/01/2023","ASSAULT","441","H","H2","5800 BLOCK","SILVER HILL RD SB","38.85680347681","-76.90632110834","(38.856803476810455,-76.90632110834122)"
"PP23070100002397","07/01/2023","ACCIDENT","156","A","A4",,"UNIVERSITY BLVD WB / LEBANON ST","38.99131764472","-76.98998236656","(38.99131764471531,-76.98998236656189)"
"PP23070100002738","07/01/2023","ASSAULT","313","G","G4","7900 BLOCK","HOMEFIELD DR","38.89650155604","-76.86891961098","(38.89650155603886,-76.86891961097717)"
"PP23070100002766","07/01/2023","AUTO, STOLEN & RECOVERED","429","K","K2","3300 BLOCK","ANDOVER PL","38.84466439486","-76.94897194207","(38.8446643948555,-76.94897194206715)"
"PP23070100000099","07/01/2023","ROBBERY, VEHICLE","205","B","B7","4800 BLOCK","DELAWARE ST","39.0050971508","-76.92928694189","(39.00509715080261,-76.92928694188595)"
"PP23070100000295","07/01/2023","ACCIDENT WITH IMPOUND","904","C","C5",,"CHERRY LN EB / LAUREL BOWIE RD NB","39.08514948189","-76.8472661078","(39.085149481892586,-76.84726610779762)"
"PP23070100000384","07/01/2023","AUTO, STOLEN","243","B","B2","5000 BLOCK","JACKSON ST","38.93062222004","-76.93059927225","(38.93062222003937,-76.93059927225113)"
"PP23070100000494","07/01/2023","ACCIDENT","512","J","J2",,"OWENS RD / WHEELER RD","38.81710539758","-76.96406377852","(38.817105397582054,-76.96406377851963)"
"PP23070100000531","07/01/2023","THEFT FROM AUTO","239","B","B3","5600 BLOCK","HAMILTON ST","38.95129147172","-76.91977253556","(38.95129147171974,-76.91977253556252)"
"PP23070100000539","07/01/2023","ACCIDENT WITH IMPOUND","307","G","G6",,"PINEBROOK AVE / HAWTHORNE ST","38.92570097744","-76.89155736566","(38.92570097744465,-76.8915573656559)"
"PP23070100000561","07/01/2023","AUTO, STOLEN","827","D","D2","9700 BLOCK","GOOD LUCK RD","38.98377172649","-76.84201678634","(38.98377172648907,-76.8420167863369)"
"PP23070100000947","07/01/2023","AUTO, STOLEN","413","H","H7","1700 BLOCK","RITCHIE STATION CT","38.8666459769","-76.8502188623","(38.866645976901054,-76.85021886229515)"
"PP23070100001023","07/01/2023","ACCIDENT","308","G","G6","2500 BLOCK","FIRE HOUSE RD","38.92471672595","-76.8804025352","(38.92471672594547,-76.88040253520012)"
"PP23070100001061","07/01/2023","AUTO, STOLEN","769","K","K4","6200 BLOCK","MAXWELL DR","38.81644922495","-76.89746285975","(38.81644922494888,-76.8974628597498)"
"PP23070100001077","07/01/2023","ACCIDENT","260","B","B2","5400 BLOCK","ANNAPOLIS RD EB","38.93849623203","-76.92239719629","(38.938496232032776,-76.92239719629288)"
"PP23070100001111","07/01/2023","AUTO, STOLEN","622","F","F1","4400 BLOCK","CIMARRON LN","38.77675114572","-76.93486435711","(38.77675114572048,-76.93486435711384)"
"PP23070100001147","07/01/2023","ACCIDENT WITH IMPOUND","259","G","B1",,"KENILWORTH AVE NB / JOHN HANSON HWY WB","38.91881123185","-76.93223969638","(38.91881123185158,-76.93223969638348)"
"PP23070100001159","07/01/2023","ACCIDENT","711","E","E5",,"HUMBERSIDE WAY / GALESHEAD DR","38.85253839195","-76.7370301187","(38.852538391947746,-76.73703011870384)"
"PP23070100001228","07/01/2023","ACCIDENT WITH IMPOUND","836","D","D1","9300 BLOCK","LANHAM SEVERN RD","38.9699922204","-76.85185927153","(38.969992220401764,-76.85185927152634)"
"PP23070100001267","07/01/2023","AUTO, STOLEN","429","K","K2","3300 BLOCK","CURTIS DR","38.84794522822","-76.94733153284","(38.84794522821903,-76.94733153283596)"
"PP23070100001362","07/01/2023","THEFT FROM AUTO","701","E","E3","200 BLOCK","HARRY S TRUMAN DR SB","38.88698714972","-76.83578319848","(38.886987149715424,-76.83578319847584)"
"PP23070100001454","07/01/2023","ACCIDENT WITH IMPOUND","429","K","K2",,"SILVER HILL RD NB / BRANCH AVE NB","38.83941505849","-76.94634728134","(38.839415058493614,-76.94634728133678)"
