"armed_with","count","percentage"
"gun",5817,59.7534668721109
"knife",1677,17.2265023112481
"unarmed",523,5.3723677452491
"undetermined",439,4.50950179763739
"vehicle",324,3.32819722650231
"replica",307,3.15356959424756
"blunt_object",238,2.44478685156651
"unknown",161,1.65382639958911
"other",107,1.09912686183873
"gun;knife",40,0.410888546481767
"gun;vehicle",39,0.400616332819723
"vehicle;gun",24,0.24653312788906
"knife;blunt_object",5,0.0513610683102209
"knife;knife",5,0.0513610683102209
"blunt_object;blunt_object",4,0.0410888546481767
"other;gun",4,0.0410888546481767
"blunt_object;knife",3,0.0308166409861325
"knife;vehicle",3,0.0308166409861325
"vehicle;knife",3,0.0308166409861325
"gun;other",2,0.0205444273240883
"blunt_object;gun",1,0.0102722136620442
"blunt_object;other",1,0.0102722136620442
"knife;replica",1,0.0102722136620442
"knife;unknown",1,0.0102722136620442
"other;blunt_object;knife",1,0.0102722136620442
"other;knife",1,0.0102722136620442
"replica;blunt_object",1,0.0102722136620442
"replica;knife",1,0.0102722136620442
"replica;vehicle",1,0.0102722136620442
"vehicle;knife;other",1,0.0102722136620442
